Género;Categoría;Equipo;Nombre;Dorsal;Posición;Fecha;Altura;Peso;LugarNacimiento;Nacionalidad
Masculina;Primera;Fútbol Club Barcelona;Marc-André Ter Stegen;1;Portero;30/04/1992;1,87 m;85 kg;Mönchengladbach (Alemania);b'Alemana'
Masculina;Primera;Fútbol Club Barcelona;Jasper Cillessen;13;Portero;22/04/1989;1,85 m;83 kg;Groesbeek (Holanda);b'Holandesa'
Masculina;Primera;Fútbol Club Barcelona;Nelson Cabral Semedo;2;Defensa;16/11/1993;1,77 m;0;Lisboa (Portugal);b'Portuguesa'
Masculina;Primera;Fútbol Club Barcelona;Gerard Piqué Bernabéu;3;Defensa;02/02/1987;1,94 m;85 kg;Barcelona (Barcelona);b'Espa\xc3\xb1ola'
Masculina;Primera;Fútbol Club Barcelona;Clement Nicolas Laurent Lenglet;15;Defensa;17/06/1995;186 cm;0;Beauvais (Francia);b'Francesa'
Masculina;Primera;Fútbol Club Barcelona;Jordi Alba Ramos;18;Defensa;21/03/1989;1,70 m;68 kg;L'Hospitalet de Llobregat (Barcelona);b'Espa\xc3\xb1ola'
Masculina;Primera;Fútbol Club Barcelona;Sergi Roberto Carnicer;20;Defensa;07/02/1992;1,78 m;68 kg;Reus (Tarragona);b'Espa\xc3\xb1ola'
Masculina;Primera;Fútbol Club Barcelona;Samuel Umtiti;23;Defensa;14/11/1993;1,82 m;75 kg;Yaundé (Camerún);b'Francesa'
Masculina;Primera;Fútbol Club Barcelona;Thomas Vermaelen;24;Defensa;14/11/1985;1,85 m;0;Kapellen (Bélgica);b'Belga'
Masculina;Primera;Fútbol Club Barcelona;Ivan Rakitić;4;Centrocampista;10/03/1988;1,84 m;78 kg;Möhlin (Suiza);b'Croata'
Masculina;Primera;Fútbol Club Barcelona;Sergio Busquets Burgos;5;Centrocampista;16/07/1988;1,89 m;76 kg;Sabadell (Barcelona);b'Espa\xc3\xb1ola'
Masculina;Primera;Fútbol Club Barcelona;Denis Suárez Fernández;6;Centrocampista;06/01/1994;1,76 m;69 kg;Salceda de Caselas (Pontevedra);b'Espa\xc3\xb1ola'
Masculina;Primera;Fútbol Club Barcelona;Philippe Coutinho;7;Centrocampista;12/06/1992;1,73 m;0;Río de Janeiro (Brasil);b'Brasile\xc3\xb1a'
Masculina;Primera;Fútbol Club Barcelona;Arthur Henrique Ramos de Oliveira Melo;8;Centrocampista;12/08/1996;0;0;Goiana (Brasil);b'Brasile\xc3\xb1a'
Masculina;Primera;Fútbol Club Barcelona;Rafael Alcántara Do Nascimento;12;Centrocampista;12/02/1993;1,74 m;71 kg;São Paulo (Brasil);b'Brasile\xc3\xb1a'
Masculina;Primera;Fútbol Club Barcelona;Sergi Samper Montaña;16;Centrocampista;20/01/1995;1,81 m;72 kg;Barcelona (Barcelona);b'Espa\xc3\xb1ola'
Masculina;Primera;Fútbol Club Barcelona;Arturo Vidal;22;Centrocampista;22/05/1987;1,80 m;0;Santiago de Chile, Chile;b'Chilena'
Masculina;Primera;Fútbol Club Barcelona;Carlos Aleñá;26;Centrocampista;05/01/1998;1,80 m.;73 KG. ;Mataró (Barcelona);b'Espa\xc3\xb1ola'
Masculina;Primera;Fútbol Club Barcelona;Luis Alberto Suárez Díaz;9;Delantero;24/01/1987;1,82 m;86 kg. ;Salto (Uruguay);b'Uruguaya'
Masculina;Primera;Fútbol Club Barcelona;Lionel Andrés Messi;10;Delantero;24/06/1987;1,70 m;72 kg;Rosario (Argentina);b'Argentina'
Masculina;Primera;Fútbol Club Barcelona;Ousmane Dembélé;11;Delantero;15/05/1997;1,77 m;0;Vernon (Francia);b'Francesa'
Masculina;Primera;Fútbol Club Barcelona;Malcom Filipe Silva de Oliveira;14;Delantero;26/02/1997;1,71 m;0;São Paulo (Brasil);b'Brasile\xc3\xb1a'
Masculina;Primera;Fútbol Club Barcelona;Munir El Haddadi Mohamed;19;Delantero;01/09/1995;1,75 m;0;El Escorial (Madrid);b'Espa\xc3\xb1ola'
